Name,Age,Overall,Wage,Preferred Foot,International Reputation,Weak Foot,Skill Moves,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
S. Agüero,30,89,300000,Right,4.0,4.0,4.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,89.0,88.0,88.0,88.0,86.0,79.0,79.0,79.0,86.0,61.0,59.0,59.0,59.0,61.0,56.0,50.0,50.0,50.0,56.0,70.0,93.0,77.0,81.0,85.0,89.0,82.0,73.0,64.0,89.0,88.0,80.0,86.0,90.0,91.0,88.0,81.0,76.0,73.0,83.0,65.0,24.0,92.0,83.0,83.0,90.0,30.0,20.0,12.0
G. Chiellini,33,89,215000,Left,4.0,3.0,2.0,61.0,61.0,61.0,57.0,58.0,58.0,58.0,57.0,57.0,57.0,57.0,59.0,63.0,63.0,63.0,59.0,77.0,79.0,79.0,79.0,77.0,80.0,89.0,89.0,89.0,80.0,58.0,33.0,83.0,59.0,45.0,58.0,60.0,31.0,59.0,57.0,63.0,75.0,54.0,82.0,55.0,78.0,89.0,65.0,89.0,49.0,92.0,88.0,28.0,50.0,50.0,84.0,93.0,93.0,90.0
K. Mbappé,19,88,100000,Right,3.0,4.0,5.0,88.0,88.0,88.0,90.0,90.0,90.0,90.0,90.0,89.0,89.0,89.0,89.0,81.0,81.0,81.0,89.0,69.0,65.0,65.0,65.0,69.0,65.0,57.0,57.0,57.0,65.0,77.0,88.0,77.0,82.0,78.0,90.0,77.0,63.0,73.0,91.0,96.0,96.0,92.0,87.0,83.0,79.0,75.0,83.0,71.0,78.0,62.0,38.0,88.0,82.0,70.0,86.0,34.0,34.0,32.0
M. Salah,26,88,255000,Left,3.0,3.0,4.0,86.0,86.0,86.0,90.0,89.0,89.0,89.0,90.0,89.0,89.0,89.0,89.0,83.0,83.0,83.0,89.0,73.0,69.0,69.0,69.0,73.0,69.0,60.0,60.0,60.0,69.0,78.0,90.0,59.0,82.0,73.0,89.0,83.0,60.0,72.0,88.0,94.0,91.0,91.0,91.0,88.0,77.0,68.0,84.0,70.0,83.0,63.0,55.0,90.0,82.0,61.0,91.0,38.0,43.0,41.0
Casemiro,26,88,285000,Right,3.0,3.0,2.0,75.0,75.0,75.0,72.0,76.0,76.0,76.0,72.0,77.0,77.0,77.0,74.0,83.0,83.0,83.0,74.0,81.0,88.0,88.0,88.0,81.0,82.0,88.0,88.0,88.0,82.0,52.0,59.0,76.0,85.0,53.0,69.0,59.0,74.0,82.0,78.0,59.0,65.0,62.0,84.0,66.0,86.0,88.0,87.0,89.0,79.0,87.0,87.0,69.0,77.0,66.0,84.0,88.0,90.0,87.0
J. Rodríguez,26,88,315000,Left,4.0,3.0,4.0,83.0,83.0,83.0,87.0,86.0,86.0,86.0,87.0,88.0,88.0,88.0,86.0,84.0,84.0,84.0,86.0,72.0,71.0,71.0,71.0,72.0,68.0,61.0,61.0,61.0,68.0,90.0,83.0,62.0,89.0,90.0,85.0,89.0,86.0,83.0,90.0,73.0,67.0,83.0,85.0,76.0,86.0,54.0,70.0,68.0,92.0,64.0,55.0,80.0,89.0,81.0,87.0,52.0,41.0,44.0
L. Insigne,27,88,165000,Right,3.0,3.0,4.0,81.0,81.0,81.0,89.0,88.0,88.0,88.0,89.0,89.0,89.0,89.0,89.0,81.0,81.0,81.0,89.0,66.0,61.0,61.0,61.0,66.0,61.0,47.0,47.0,47.0,61.0,86.0,77.0,56.0,85.0,74.0,90.0,87.0,77.0,78.0,93.0,94.0,86.0,94.0,83.0,93.0,75.0,53.0,75.0,44.0,84.0,34.0,26.0,83.0,87.0,61.0,83.0,51.0,24.0,22.0
Isco,26,88,315000,Right,3.0,3.0,4.0,79.0,79.0,79.0,87.0,86.0,86.0,86.0,87.0,89.0,89.0,89.0,86.0,86.0,86.0,86.0,86.0,75.0,76.0,76.0,76.0,75.0,71.0,66.0,66.0,66.0,71.0,75.0,79.0,55.0,89.0,65.0,94.0,88.0,76.0,83.0,95.0,75.0,69.0,87.0,77.0,90.0,69.0,64.0,70.0,59.0,87.0,58.0,64.0,78.0,89.0,76.0,86.0,60.0,64.0,51.0
C. Eriksen,26,88,205000,Right,3.0,5.0,4.0,82.0,82.0,82.0,87.0,87.0,87.0,87.0,87.0,89.0,89.0,89.0,88.0,88.0,88.0,88.0,88.0,74.0,74.0,74.0,74.0,74.0,69.0,60.0,60.0,60.0,69.0,88.0,80.0,52.0,91.0,77.0,84.0,86.0,87.0,88.0,91.0,75.0,73.0,79.0,88.0,81.0,84.0,50.0,92.0,58.0,89.0,46.0,56.0,83.0,91.0,67.0,88.0,59.0,57.0,22.0
Coutinho,26,88,340000,Right,3.0,4.0,5.0,82.0,82.0,82.0,89.0,88.0,88.0,88.0,89.0,90.0,90.0,90.0,88.0,86.0,86.0,86.0,88.0,74.0,73.0,73.0,73.0,74.0,70.0,61.0,61.0,61.0,70.0,79.0,79.0,48.0,88.0,75.0,91.0,91.0,86.0,83.0,92.0,89.0,75.0,92.0,83.0,93.0,83.0,59.0,79.0,61.0,93.0,59.0,49.0,84.0,90.0,70.0,85.0,55.0,54.0,47.0
P. Aubameyang,29,88,265000,Right,3.0,4.0,4.0,87.0,87.0,87.0,86.0,86.0,86.0,86.0,86.0,84.0,84.0,84.0,84.0,76.0,76.0,76.0,84.0,67.0,61.0,61.0,61.0,67.0,64.0,55.0,55.0,55.0,64.0,77.0,88.0,79.0,77.0,86.0,79.0,80.0,74.0,64.0,82.0,93.0,95.0,76.0,87.0,70.0,82.0,79.0,76.0,76.0,79.0,43.0,48.0,90.0,77.0,76.0,86.0,27.0,25.0,36.0
M. Hummels,29,88,160000,Right,4.0,3.0,3.0,72.0,72.0,72.0,71.0,72.0,72.0,72.0,71.0,74.0,74.0,74.0,73.0,80.0,80.0,80.0,73.0,81.0,86.0,86.0,86.0,81.0,83.0,88.0,88.0,88.0,83.0,64.0,55.0,87.0,81.0,60.0,68.0,65.0,53.0,85.0,81.0,53.0,64.0,63.0,87.0,60.0,71.0,68.0,66.0,84.0,51.0,69.0,92.0,56.0,79.0,68.0,91.0,88.0,90.0,88.0
Marcelo,30,88,285000,Left,4.0,4.0,5.0,83.0,83.0,83.0,87.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,88.0,87.0,87.0,87.0,88.0,88.0,86.0,86.0,86.0,88.0,87.0,84.0,84.0,84.0,87.0,90.0,70.0,75.0,84.0,54.0,90.0,85.0,67.0,76.0,92.0,83.0,82.0,86.0,88.0,86.0,83.0,76.0,91.0,78.0,70.0,84.0,85.0,85.0,82.0,59.0,86.0,71.0,85.0,86.0
G. Bale,28,88,355000,Left,4.0,3.0,4.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,88.0,88.0,88.0,88.0,83.0,83.0,83.0,88.0,76.0,73.0,73.0,73.0,76.0,74.0,70.0,70.0,70.0,74.0,87.0,86.0,84.0,85.0,85.0,87.0,90.0,87.0,80.0,85.0,94.0,95.0,82.0,85.0,65.0,92.0,87.0,75.0,80.0,91.0,65.0,59.0,85.0,79.0,76.0,86.0,54.0,55.0,52.0
G. Higuaín,30,88,245000,Right,4.0,4.0,3.0,88.0,88.0,88.0,84.0,86.0,86.0,86.0,84.0,83.0,83.0,83.0,81.0,74.0,74.0,74.0,81.0,58.0,56.0,56.0,56.0,58.0,54.0,51.0,51.0,51.0,54.0,68.0,92.0,80.0,75.0,90.0,84.0,74.0,62.0,59.0,85.0,73.0,73.0,75.0,86.0,69.0,86.0,79.0,70.0,85.0,80.0,50.0,20.0,92.0,74.0,70.0,86.0,35.0,22.0,18.0
Thiago Silva,33,88,165000,Right,4.0,3.0,2.0,69.0,69.0,69.0,69.0,70.0,70.0,70.0,69.0,73.0,73.0,73.0,72.0,78.0,78.0,78.0,72.0,81.0,85.0,85.0,85.0,81.0,83.0,87.0,87.0,87.0,83.0,60.0,38.0,81.0,80.0,63.0,62.0,61.0,64.0,80.0,80.0,70.0,72.0,68.0,82.0,68.0,71.0,90.0,74.0,82.0,68.0,76.0,89.0,59.0,72.0,60.0,81.0,88.0,89.0,85.0
S. Umtiti,24,87,205000,Left,3.0,3.0,2.0,73.0,73.0,73.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,73.0,76.0,76.0,76.0,73.0,83.0,84.0,84.0,84.0,83.0,84.0,87.0,87.0,87.0,84.0,69.0,51.0,79.0,81.0,70.0,69.0,72.0,62.0,73.0,77.0,71.0,73.0,68.0,82.0,66.0,83.0,89.0,78.0,84.0,74.0,81.0,87.0,58.0,58.0,61.0,82.0,90.0,89.0,86.0
M. Icardi,25,87,130000,Right,3.0,4.0,3.0,87.0,87.0,87.0,79.0,84.0,84.0,84.0,79.0,79.0,79.0,79.0,77.0,71.0,71.0,71.0,77.0,57.0,56.0,56.0,56.0,57.0,55.0,54.0,54.0,54.0,55.0,46.0,91.0,91.0,73.0,85.0,77.0,58.0,45.0,54.0,81.0,77.0,78.0,76.0,88.0,76.0,84.0,94.0,72.0,76.0,70.0,56.0,22.0,92.0,64.0,82.0,85.0,45.0,24.0,20.0
K. Koulibaly,27,87,115000,Right,3.0,3.0,2.0,55.0,55.0,55.0,54.0,55.0,55.0,55.0,54.0,55.0,55.0,55.0,58.0,61.0,61.0,61.0,58.0,74.0,78.0,78.0,78.0,74.0,78.0,87.0,87.0,87.0,78.0,30.0,19.0,81.0,66.0,14.0,66.0,28.0,28.0,56.0,60.0,68.0,75.0,50.0,80.0,40.0,55.0,81.0,71.0,94.0,15.0,87.0,88.0,24.0,43.0,33.0,78.0,91.0,88.0,86.0
P. Pogba,25,87,210000,Right,4.0,4.0,5.0,84.0,84.0,84.0,85.0,85.0,85.0,85.0,85.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,86.0,80.0,81.0,81.0,81.0,80.0,78.0,77.0,77.0,77.0,78.0,80.0,73.0,73.0,86.0,85.0,87.0,84.0,82.0,90.0,90.0,71.0,79.0,74.0,81.0,64.0,90.0,83.0,88.0,89.0,81.0,78.0,66.0,81.0,87.0,81.0,87.0,66.0,70.0,68.0
R. Lukaku,25,87,230000,Left,3.0,3.0,3.0,87.0,87.0,87.0,82.0,84.0,84.0,84.0,82.0,81.0,81.0,81.0,82.0,75.0,75.0,75.0,82.0,63.0,61.0,61.0,61.0,63.0,60.0,57.0,57.0,57.0,60.0,78.0,87.0,86.0,77.0,79.0,80.0,74.0,66.0,73.0,72.0,77.0,90.0,60.0,86.0,46.0,88.0,71.0,84.0,94.0,74.0,75.0,27.0,89.0,76.0,78.0,83.0,30.0,30.0,30.0
C. Immobile,28,87,115000,Right,3.0,4.0,3.0,87.0,87.0,87.0,82.0,85.0,85.0,85.0,82.0,81.0,81.0,81.0,80.0,73.0,73.0,73.0,80.0,63.0,61.0,61.0,61.0,63.0,61.0,58.0,58.0,58.0,61.0,55.0,90.0,81.0,74.0,87.0,83.0,70.0,51.0,49.0,83.0,78.0,85.0,77.0,87.0,63.0,86.0,77.0,80.0,76.0,80.0,77.0,40.0,91.0,65.0,78.0,81.0,34.0,33.0,32.0
Jordi Alba,29,87,250000,Left,3.0,3.0,3.0,79.0,79.0,79.0,84.0,82.0,82.0,82.0,84.0,82.0,82.0,82.0,85.0,82.0,82.0,82.0,85.0,87.0,83.0,83.0,83.0,87.0,87.0,81.0,81.0,81.0,87.0,87.0,73.0,70.0,84.0,60.0,80.0,80.0,63.0,74.0,84.0,93.0,93.0,90.0,83.0,85.0,64.0,81.0,91.0,61.0,66.0,75.0,84.0,79.0,70.0,59.0,79.0,72.0,84.0,85.0
D. Mertens,31,87,135000,Right,3.0,4.0,4.0,81.0,81.0,81.0,89.0,88.0,88.0,88.0,89.0,89.0,89.0,89.0,88.0,81.0,81.0,81.0,88.0,68.0,63.0,63.0,63.0,68.0,63.0,49.0,49.0,49.0,63.0,77.0,86.0,35.0,82.0,70.0,91.0,82.0,79.0,74.0,89.0,93.0,85.0,94.0,88.0,92.0,80.0,60.0,75.0,42.0,81.0,59.0,36.0,87.0,83.0,79.0,81.0,25.0,40.0,40.0
J. Vertonghen,31,87,155000,Left,3.0,3.0,3.0,72.0,72.0,72.0,71.0,72.0,72.0,72.0,71.0,73.0,73.0,73.0,73.0,77.0,77.0,77.0,73.0,82.0,84.0,84.0,84.0,82.0,83.0,87.0,87.0,87.0,83.0,68.0,56.0,80.0,79.0,52.0,71.0,58.0,73.0,74.0,76.0,61.0,65.0,61.0,84.0,60.0,80.0,85.0,75.0,79.0,66.0,84.0,89.0,60.0,68.0,66.0,83.0,90.0,87.0,88.0
M. Hamšík,30,87,125000,Right,3.0,5.0,3.0,84.0,84.0,84.0,85.0,86.0,86.0,86.0,85.0,87.0,87.0,87.0,85.0,87.0,87.0,87.0,85.0,80.0,81.0,81.0,81.0,80.0,78.0,75.0,75.0,75.0,78.0,78.0,79.0,74.0,88.0,79.0,86.0,80.0,72.0,83.0,87.0,69.0,68.0,76.0,88.0,66.0,82.0,71.0,84.0,67.0,83.0,56.0,72.0,88.0,86.0,70.0,84.0,75.0,73.0,62.0
I. Rakitić,30,87,260000,Right,4.0,3.0,3.0,80.0,80.0,80.0,83.0,84.0,84.0,84.0,83.0,85.0,85.0,85.0,84.0,87.0,87.0,87.0,84.0,80.0,82.0,82.0,82.0,80.0,78.0,73.0,73.0,73.0,78.0,84.0,83.0,58.0,87.0,80.0,84.0,88.0,84.0,90.0,87.0,66.0,59.0,72.0,77.0,66.0,84.0,39.0,84.0,66.0,90.0,67.0,75.0,79.0,86.0,82.0,81.0,72.0,74.0,70.0
Piqué,31,87,240000,Right,4.0,3.0,2.0,71.0,71.0,71.0,67.0,69.0,69.0,69.0,67.0,70.0,70.0,70.0,69.0,76.0,76.0,76.0,69.0,78.0,84.0,84.0,84.0,78.0,80.0,86.0,86.0,86.0,80.0,57.0,64.0,83.0,81.0,57.0,59.0,58.0,43.0,80.0,78.0,49.0,60.0,58.0,84.0,36.0,62.0,74.0,65.0,83.0,51.0,72.0,88.0,58.0,62.0,69.0,86.0,91.0,86.0,84.0
L. Sané,22,86,195000,Left,2.0,3.0,4.0,84.0,84.0,84.0,86.0,86.0,86.0,86.0,86.0,84.0,84.0,84.0,85.0,76.0,76.0,76.0,85.0,67.0,61.0,61.0,61.0,67.0,63.0,54.0,54.0,54.0,63.0,83.0,81.0,72.0,79.0,85.0,88.0,82.0,68.0,64.0,85.0,93.0,96.0,88.0,81.0,81.0,86.0,64.0,79.0,70.0,78.0,61.0,34.0,84.0,82.0,71.0,78.0,36.0,32.0,35.0
Bernardo Silva,23,86,180000,Left,2.0,3.0,4.0,77.0,77.0,77.0,86.0,84.0,84.0,84.0,86.0,86.0,86.0,86.0,86.0,82.0,82.0,82.0,86.0,70.0,67.0,67.0,67.0,70.0,65.0,55.0,55.0,55.0,65.0,85.0,75.0,51.0,85.0,69.0,92.0,83.0,67.0,79.0,91.0,84.0,74.0,90.0,82.0,88.0,70.0,50.0,78.0,48.0,72.0,58.0,49.0,83.0,86.0,68.0,85.0,49.0,44.0,35.0
S. Mané,26,86,195000,Right,3.0,4.0,4.0,84.0,84.0,84.0,87.0,87.0,87.0,87.0,87.0,86.0,86.0,86.0,86.0,80.0,80.0,80.0,86.0,69.0,66.0,66.0,66.0,69.0,65.0,58.0,58.0,58.0,65.0,73.0,84.0,62.0,79.0,71.0,87.0,74.0,64.0,71.0,86.0,95.0,93.0,91.0,86.0,86.0,82.0,75.0,84.0,67.0,74.0,73.0,35.0,87.0,82.0,71.0,80.0,42.0,42.0,38.0
V. van Dijk,26,86,165000,Right,3.0,3.0,2.0,71.0,71.0,71.0,68.0,69.0,69.0,69.0,68.0,70.0,70.0,70.0,70.0,74.0,74.0,74.0,70.0,79.0,83.0,83.0,83.0,79.0,81.0,88.0,88.0,88.0,81.0,53.0,52.0,82.0,76.0,45.0,70.0,60.0,70.0,78.0,73.0,74.0,77.0,61.0,85.0,49.0,81.0,85.0,71.0,92.0,64.0,81.0,86.0,41.0,59.0,62.0,83.0,88.0,89.0,84.0
R. Sterling,23,86,195000,Right,3.0,3.0,4.0,79.0,79.0,79.0,87.0,86.0,86.0,86.0,87.0,86.0,86.0,86.0,87.0,80.0,80.0,80.0,87.0,72.0,66.0,66.0,66.0,72.0,69.0,55.0,55.0,55.0,69.0,77.0,77.0,38.0,84.0,67.0,88.0,70.0,63.0,69.0,87.0,95.0,92.0,93.0,87.0,93.0,73.0,57.0,78.0,52.0,73.0,38.0,30.0,87.0,77.0,69.0,77.0,47.0,58.0,54.0
Roberto Firmino,26,86,195000,Right,3.0,4.0,4.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,86.0,87.0,87.0,87.0,86.0,85.0,85.0,85.0,86.0,75.0,76.0,76.0,76.0,75.0,72.0,70.0,70.0,70.0,72.0,72.0,87.0,77.0,86.0,81.0,87.0,80.0,65.0,75.0,88.0,78.0,77.0,80.0,86.0,81.0,81.0,81.0,90.0,74.0,76.0,73.0,58.0,87.0,85.0,72.0,87.0,60.0,64.0,42.0
R. Varane,25,86,210000,Right,3.0,3.0,2.0,65.0,65.0,65.0,64.0,66.0,66.0,66.0,64.0,67.0,67.0,67.0,67.0,72.0,72.0,72.0,67.0,78.0,82.0,82.0,82.0,78.0,81.0,86.0,86.0,86.0,81.0,36.0,40.0,83.0,75.0,42.0,57.0,46.0,54.0,76.0,77.0,83.0,85.0,63.0,83.0,40.0,52.0,79.0,73.0,84.0,53.0,77.0,82.0,44.0,56.0,43.0,82.0,87.0,88.0,87.0
