Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
3.3,55.5,No,4.2,3,34.56
2.3,42.1,No,4.9,3,26.64
8.4,81.6,No,7.4,4,65.63
7.5,69.0,No,4.4,7,54.47
6.1,45.6,No,6.8,5,38.14
8.0,50.1,No,4.7,6,36.97
7.4,46.0,Yes,5.0,3,34.24
2.5,76.1,No,6.0,5,45.4
8.1,45.6,Yes,4.5,2,37.12
5.3,84.5,Yes,4.9,4,56.98
7.5,41.2,No,5.7,3,36.99
8.2,54.7,No,5.6,3,46.21
3.5,92.5,No,7.7,4,51.32
1.9,82.4,No,4.4,8,47.33
2.8,44.3,No,8.3,8,24.68
4.4,88.4,Yes,8.1,1,51.53
7.5,69.1,No,7.8,5,45.6
7.9,90.0,Yes,5.5,2,64.54
1.1,75.4,Yes,8.1,6,35.31
5.1,80.2,No,4.9,3,51.79
4.3,98.6,Yes,4.6,9,71.0
2.8,53.7,Yes,4.2,9,36.68
2.0,76.8,No,8.7,8,46.07
3.7,67.2,Yes,5.5,2,46.0
8.5,42.3,Yes,8.6,2,39.6
3.6,40.9,Yes,5.4,2,20.27
5.2,47.0,Yes,8.5,5,35.51
6.6,78.3,Yes,8.5,9,68.48
3.9,73.5,No,8.6,7,43.53
8.8,72.7,Yes,6.5,7,54.7
8.7,41.9,No,8.3,3,40.07
3.0,67.7,Yes,8.8,3,39.65
5.0,94.6,No,5.6,3,56.7
3.4,63.5,No,6.1,1,29.79
3.3,76.9,No,7.6,8,40.96
1.3,86.0,No,5.5,2,37.82
5.9,86.3,No,7.8,7,66.61
5.0,70.6,Yes,4.4,9,50.35
1.4,90.6,No,6.6,2,39.3
3.2,63.1,No,4.6,1,38.31
8.3,92.4,Yes,5.5,5,73.75
2.9,54.2,Yes,5.3,5,37.33
2.2,56.5,Yes,8.2,1,28.21
4.9,43.1,No,5.0,9,31.28
8.9,86.9,Yes,8.0,3,67.04
2.9,64.6,Yes,8.0,2,43.0
6.4,53.5,No,6.5,7,39.03
7.1,53.7,No,5.2,5,37.99
2.9,93.2,Yes,5.1,4,57.7
6.8,89.2,Yes,6.3,4,67.65
3.9,72.7,No,4.0,9,47.06
6.1,76.4,No,6.7,9,58.5
6.1,68.0,No,8.8,1,45.72
5.3,63.1,No,4.8,7,42.58
1.7,94.0,Yes,6.9,8,53.04
7.7,47.4,Yes,8.8,5,37.06
3.6,64.7,No,8.3,7,39.19
2.5,60.3,No,8.3,8,33.22
1.3,69.4,No,8.1,8,40.73
5.7,67.0,No,5.5,9,53.81
6.4,70.6,No,8.5,5,51.62
1.1,48.3,Yes,8.7,2,19.68
5.1,70.3,Yes,6.5,6,52.22
2.8,54.3,Yes,5.8,1,30.41
6.2,50.9,Yes,6.1,6,41.64
2.4,43.8,Yes,5.7,3,21.37
6.5,85.0,No,5.1,3,61.27
4.1,65.2,Yes,7.1,7,48.82
8.5,77.0,Yes,6.8,4,59.11
2.1,82.9,Yes,6.3,5,50.91
3.7,80.1,No,4.5,6,53.37
1.9,67.8,No,8.0,6,36.56
8.4,62.9,No,4.9,2,46.95
8.0,62.2,No,4.6,3,46.9
3.1,77.8,No,7.1,1,38.57
6.3,69.2,Yes,6.0,3,50.28
7.5,90.1,Yes,4.3,8,71.61
5.4,91.6,Yes,5.8,4,60.0
5.2,50.1,No,7.9,2,34.23
2.9,48.0,Yes,7.1,4,34.28
1.7,77.2,Yes,5.8,7,43.48
8.2,57.8,No,5.0,9,50.73
8.2,41.1,No,7.2,5,34.75
6.1,92.4,No,8.4,5,60.61
3.7,53.4,Yes,7.2,5,36.07
3.8,94.8,No,8.1,9,62.77
6.8,82.3,No,6.6,7,61.88
8.2,85.0,Yes,7.6,3,63.68
8.1,51.9,No,8.5,2,43.23
7.2,53.8,No,7.9,9,52.4
6.1,70.8,Yes,8.5,3,54.35
1.7,50.2,Yes,6.2,8,30.99
2.3,58.0,No,8.5,4,34.17
8.2,59.0,Yes,7.1,5,48.0
5.9,49.4,No,8.4,8,38.38
1.1,52.1,Yes,4.2,5,28.1
1.8,86.5,No,7.3,2,46.31
6.3,49.9,No,8.2,6,41.96
1.0,41.7,No,4.9,7,25.23
2.3,77.1,Yes,7.3,1,41.81
5.4,97.6,Yes,8.1,9,60.94
6.5,59.5,Yes,5.4,6,53.68
6.2,47.0,Yes,6.0,4,33.24
2.8,73.7,Yes,6.8,2,42.8
6.7,93.5,No,6.6,9,70.58
2.9,86.3,Yes,4.2,6,57.62
3.6,76.7,No,4.5,9,56.27
7.0,58.6,No,4.5,2,39.53
6.2,72.0,No,5.3,5,54.56
7.8,45.4,No,5.2,6,39.4
6.3,80.1,Yes,7.7,5,68.24
5.5,82.8,No,6.9,6,60.48
1.7,96.9,No,7.8,3,52.35
3.9,55.4,No,4.3,9,33.84
3.1,41.1,No,6.4,2,11.12
3.0,72.2,No,5.6,2,42.24
8.8,81.7,Yes,8.2,5,68.81
4.1,86.6,Yes,7.5,3,57.24
8.1,51.4,No,8.3,2,31.72
6.0,55.4,No,4.2,6,34.85
7.4,70.2,No,7.6,6,55.31
5.0,59.5,Yes,6.7,7,50.18
5.6,90.8,No,8.1,4,59.73
4.9,68.0,No,6.5,8,51.5
2.6,87.2,Yes,6.7,3,46.15
6.8,74.3,Yes,4.3,1,51.34
3.2,85.6,Yes,7.3,5,51.82
1.2,59.6,No,5.4,6,35.46
6.2,89.1,No,4.1,3,55.72
2.4,56.2,Yes,4.3,2,36.3
8.5,72.2,Yes,8.8,3,55.82
8.6,52.6,No,5.7,3,38.57
8.3,68.1,No,8.3,7,51.42
4.0,58.8,No,8.8,1,32.0
1.1,55.7,No,8.7,4,29.42
8.4,97.1,Yes,8.4,3,69.12
4.4,49.4,No,8.5,7,31.44
8.7,86.5,Yes,5.4,1,66.74
8.7,98.1,No,4.8,8,61.07
7.8,41.2,Yes,7.2,7,37.52
3.4,81.2,No,6.4,8,45.77
4.1,54.9,Yes,4.5,8,34.38
7.8,42.4,No,7.4,9,41.09
3.5,63.8,Yes,6.8,1,36.31
2.4,95.2,No,8.3,9,57.34
5.5,40.7,No,7.0,1,31.43
8.5,74.7,Yes,6.9,3,57.63
6.6,69.6,No,6.2,7,58.48
5.6,91.5,No,6.3,8,65.59
1.8,45.0,No,8.8,5,20.06
5.9,80.2,No,4.7,1,58.34
8.9,80.1,No,6.2,3,61.38
2.1,79.5,No,7.3,7,53.99
5.1,95.6,No,6.2,2,58.23
8.0,88.6,Yes,5.4,2,64.54
6.9,42.5,Yes,5.4,9,40.4
6.6,67.8,No,5.2,6,48.31
6.6,63.5,Yes,5.7,4,51.71
3.9,58.3,No,8.4,9,47.94
3.3,66.6,Yes,6.5,7,33.89
7.5,62.7,No,5.2,7,52.23
7.5,65.5,No,5.9,8,48.2
7.9,97.8,No,4.5,3,57.35
8.3,45.2,No,8.5,2,39.98
5.1,94.4,No,6.0,1,59.67
5.0,68.3,Yes,8.9,2,47.91
7.4,76.8,Yes,5.7,3,57.23
6.2,89.0,Yes,8.2,5,66.16
6.6,61.3,No,5.3,8,44.4
7.4,65.4,Yes,4.4,3,49.36
8.1,64.2,Yes,4.2,7,55.35
3.7,62.1,No,7.0,5,43.75
4.0,94.6,No,5.6,5,58.17
1.8,88.9,Yes,6.2,8,52.26
5.6,46.4,Yes,8.1,5,35.44
1.3,46.4,No,5.2,7,18.97
4.7,65.2,No,5.5,8,47.65
5.3,45.8,Yes,8.2,8,31.21
3.3,76.5,No,6.5,3,45.7
5.7,48.5,No,8.1,4,35.2
1.2,70.8,No,5.9,8,33.15
1.3,40.4,No,6.0,5,12.92
7.6,58.7,No,4.8,1,38.48
3.9,80.0,No,8.6,7,50.33
2.0,68.6,Yes,8.5,3,44.39
5.2,97.7,Yes,8.9,2,62.8
7.2,91.6,No,6.0,5,66.43
2.7,61.2,No,8.1,1,37.63
6.0,42.7,No,6.1,9,39.49
1.7,89.9,Yes,6.3,5,51.12
1.4,93.8,No,8.1,6,50.03
5.3,88.4,Yes,4.9,7,62.23
5.3,47.5,No,5.1,9,33.34
6.1,98.9,Yes,5.6,5,74.56
6.8,55.3,No,7.9,4,45.02
8.8,82.7,No,5.9,3,62.23
5.1,93.6,Yes,5.8,5,63.84
3.6,53.9,Yes,9.0,3,34.51
7.4,93.6,No,5.9,5,64.45
3.2,58.3,No,5.2,8,38.36
4.5,97.6,Yes,7.1,2,59.82
1.6,56.6,Yes,8.0,4,38.68
1.2,96.3,Yes,4.3,8,52.63
8.7,43.2,No,7.1,5,41.52
7.7,81.8,Yes,4.2,8,59.77
6.6,71.4,Yes,6.6,6,50.04
4.3,68.2,No,5.3,1,32.37
2.4,53.2,No,5.5,5,30.74
2.3,81.6,Yes,6.3,2,43.11
3.0,51.3,No,8.6,7,36.65
5.4,72.6,No,7.6,4,49.93
6.7,54.9,No,8.7,2,40.42
6.3,96.4,Yes,7.3,1,58.11
3.2,41.7,No,4.0,5,26.07
8.6,51.8,Yes,5.3,8,45.05
6.9,54.3,Yes,8.5,8,40.42
5.4,64.4,Yes,7.2,2,44.95
5.9,53.7,No,8.9,6,35.3
4.4,69.0,No,4.8,7,36.43
3.0,91.5,No,5.5,1,55.52
3.8,82.0,Yes,5.8,5,49.41
7.1,74.2,No,5.6,6,47.26
1.1,45.3,No,5.3,7,18.79
1.9,80.9,Yes,6.2,9,46.69
1.4,49.8,No,7.2,3,28.17
1.3,86.4,Yes,5.6,8,43.62
7.8,54.8,No,4.4,3,36.26
6.6,64.6,Yes,7.5,9,55.98
4.8,60.7,No,6.3,8,40.51
1.8,90.7,No,6.8,9,54.68
4.9,47.5,No,6.3,5,30.36
4.8,73.4,Yes,8.5,9,61.16
2.4,48.4,No,6.8,3,19.95
4.5,81.6,Yes,8.6,7,56.8
4.2,93.4,No,6.6,3,62.54
5.9,65.6,No,5.5,6,44.69
6.1,68.8,Yes,5.8,8,48.68
1.4,94.7,Yes,6.6,2,54.05
4.0,70.7,No,6.6,8,50.51
6.0,68.8,No,7.4,1,41.85
5.0,74.1,Yes,5.1,4,54.63
7.9,80.7,Yes,7.3,7,63.25
6.3,46.3,Yes,7.9,1,35.95
2.3,88.4,No,7.4,6,57.53
1.6,65.7,No,6.4,6,38.77
6.1,44.3,No,9.0,7,36.09
1.2,86.4,No,6.0,9,46.78
5.7,62.2,No,4.5,7,54.81
8.5,45.9,No,8.1,3,36.34
5.6,77.4,Yes,5.1,4,53.44
4.1,91.9,No,7.6,1,56.29
6.1,92.4,Yes,4.9,5,65.48
4.7,96.5,Yes,4.1,7,71.81
5.4,91.2,No,4.8,3,57.64
8.5,40.1,Yes,5.9,6,38.68
4.1,62.4,No,4.5,3,43.1
8.7,88.3,No,5.0,4,64.35
8.2,61.6,No,7.8,5,53.21
2.6,75.5,Yes,7.8,6,46.93
1.6,75.8,Yes,8.1,6,47.57
1.8,61.5,Yes,8.2,1,34.92
1.1,93.4,No,6.1,8,51.11
1.8,69.7,No,8.3,3,29.56
6.5,67.4,No,6.6,4,40.77
1.6,98.9,No,6.4,8,49.82
3.6,69.1,No,7.6,5,42.02
7.8,50.5,No,5.1,6,32.13
1.2,70.3,No,7.9,1,33.47
7.5,88.0,Yes,6.1,8,67.5
3.3,85.8,No,4.6,5,53.92
1.9,86.5,No,4.6,1,46.44
6.6,81.8,Yes,4.8,7,63.14
6.0,55.0,Yes,8.5,2,41.21
8.0,90.9,Yes,9.0,6,68.15
6.9,92.7,No,5.8,3,62.12
7.4,51.5,Yes,5.5,6,39.52
3.3,47.7,No,5.1,9,31.91
2.4,97.6,No,8.1,6,51.3
7.0,91.2,No,5.0,1,64.33
7.5,92.7,Yes,8.6,6,65.18
8.9,92.3,Yes,7.3,3,70.14
4.3,72.0,Yes,8.5,4,48.31
4.0,78.1,Yes,6.8,4,53.88
7.2,72.2,No,7.5,9,49.79
3.7,43.0,Yes,7.1,8,29.57
8.4,84.0,No,8.2,7,67.57
7.9,69.8,Yes,8.2,5,62.33
4.4,78.2,No,6.9,4,48.83
7.0,69.7,No,7.2,3,47.2
7.0,69.0,No,8.6,1,56.35
1.8,50.1,No,8.6,9,33.51
8.2,56.4,Yes,7.3,8,55.74
5.0,49.4,No,4.0,1,24.81
7.6,51.5,No,4.5,2,40.45
3.6,97.4,No,8.3,1,52.13
8.2,49.0,No,4.4,1,32.18
4.1,55.9,No,5.1,9,40.37
1.1,74.8,No,5.2,5,41.29
8.2,76.0,No,7.0,3,54.48
1.7,49.1,No,6.9,2,28.86
3.6,86.8,Yes,5.4,8,54.59
8.6,86.3,No,5.0,8,65.63
8.6,54.0,No,7.8,6,46.7
5.6,57.0,No,8.7,2,37.29
6.1,95.3,No,4.3,1,64.96
4.6,88.7,Yes,4.7,6,53.7
3.3,81.2,No,7.2,1,42.73
3.6,44.9,No,8.0,6,24.23
6.4,64.7,No,8.0,2,52.07
7.0,73.0,Yes,7.6,7,55.19
7.3,51.1,No,8.4,2,35.87
7.3,66.4,No,5.1,2,45.65
1.7,75.5,No,4.5,6,44.61
5.0,59.3,No,7.1,4,41.66
1.5,86.1,No,8.1,6,46.04
5.4,89.6,No,6.9,8,59.81
4.5,59.1,No,8.8,3,31.89
8.1,89.5,Yes,8.0,5,68.19
3.8,46.1,Yes,7.5,5,35.82
1.9,89.4,Yes,4.3,9,51.59
2.1,49.0,No,4.5,7,29.73
7.1,44.9,No,7.9,9,37.71
5.9,77.9,No,5.0,8,50.6
1.8,67.8,No,4.1,3,37.01
1.7,93.6,No,8.6,2,59.73
6.6,61.4,No,8.5,3,46.33
1.6,56.9,Yes,5.1,6,29.8
7.6,69.5,No,7.9,4,50.63
6.6,66.9,Yes,4.2,1,53.4
1.7,60.3,Yes,5.4,9,37.42
1.7,80.9,Yes,7.1,6,43.84
8.9,84.8,Yes,7.8,1,63.3
4.0,90.3,Yes,4.1,3,55.56
4.0,97.4,No,5.6,1,58.28
7.5,55.7,Yes,5.1,9,53.97
8.6,82.2,No,9.0,4,67.7
8.9,63.3,Yes,7.4,2,52.01
7.0,79.9,Yes,6.0,4,57.48
4.0,68.1,No,4.4,2,40.81
1.7,98.6,No,7.0,6,53.51
7.2,83.0,No,7.2,6,64.45
5.5,96.2,No,8.1,7,64.41
4.4,89.3,No,5.4,9,60.88
8.3,93.3,No,8.9,9,79.21
1.9,88.1,No,6.2,4,50.44
4.9,67.1,No,5.5,9,47.92
1.1,54.9,Yes,5.7,8,28.77
4.7,61.8,No,6.6,1,37.11
1.5,41.2,Yes,8.7,7,19.37
2.0,70.9,No,7.7,7,43.23
1.9,69.8,No,6.9,4,29.15
6.2,71.0,Yes,4.8,7,55.98
7.0,97.5,Yes,4.7,5,71.23
5.7,93.8,Yes,6.5,5,63.93
8.7,49.5,No,7.6,5,41.39
4.0,61.8,Yes,7.8,6,41.39
3.3,65.0,Yes,5.1,7,34.28
7.9,61.3,No,4.5,5,50.73
2.8,87.1,No,5.9,9,53.15
8.7,70.9,Yes,8.6,9,67.51
1.1,73.8,Yes,6.7,7,43.35
8.8,90.3,Yes,5.6,3,68.16
1.3,87.5,Yes,5.6,4,49.44
8.1,47.8,Yes,4.7,4,36.67
5.2,82.1,No,6.4,7,53.67
8.9,65.7,No,8.0,2,52.09
1.6,57.4,No,8.8,5,29.73
5.4,43.0,No,6.5,4,27.84
8.8,68.7,Yes,4.8,9,57.64
5.2,61.0,Yes,7.4,1,39.99
6.0,54.8,No,7.8,3,47.78
6.6,81.0,Yes,4.4,6,56.75
4.6,85.4,No,8.3,4,51.62
6.0,54.4,No,8.1,3,37.76
5.7,42.9,No,6.4,6,38.29
8.2,90.1,Yes,6.8,3,72.48
1.4,40.6,Yes,7.6,7,30.68
3.2,95.3,No,7.4,1,54.29
8.6,77.0,No,4.1,9,64.13
8.1,59.0,Yes,4.6,2,41.44
4.6,54.5,No,4.8,4,33.05
6.0,40.5,Yes,7.8,6,29.17
3.2,53.9,Yes,6.2,6,36.06
2.5,48.1,No,6.7,8,29.38
4.7,76.1,No,7.9,8,52.89
3.8,49.8,No,5.7,4,26.56
5.7,71.2,No,7.7,6,53.19
1.6,74.8,Yes,6.2,9,35.5
8.8,57.6,No,5.9,7,48.48
8.9,42.1,Yes,5.7,8,42.21
6.6,42.2,No,8.8,8,28.63
5.3,41.6,No,7.9,2,29.44
3.5,83.6,Yes,4.1,7,51.9
7.5,58.8,No,8.8,3,47.19
6.5,87.0,No,7.9,7,70.13
2.3,65.5,No,4.7,2,34.83
8.3,66.7,No,4.4,1,52.2
7.6,70.3,Yes,5.5,9,62.55
8.6,82.1,Yes,7.1,1,62.85
6.8,56.1,Yes,7.1,1,37.37
5.9,47.2,Yes,5.4,3,27.56
4.3,72.8,No,6.2,1,44.34
8.5,59.3,No,5.1,7,47.75
7.9,66.1,No,4.3,7,56.92
1.4,78.2,No,6.6,8,42.44
1.2,69.2,No,5.7,2,33.36
4.0,76.6,Yes,6.7,7,46.14
7.5,72.1,No,8.7,9,56.29
8.9,83.6,No,4.7,5,59.55
2.2,81.7,No,4.0,3,40.1
5.8,71.5,Yes,4.4,9,52.54
4.0,80.1,No,6.3,1,44.05
8.8,91.5,Yes,7.5,3,79.25
7.7,65.5,No,6.9,2,51.35
7.7,64.4,No,6.5,2,51.41
4.7,85.1,Yes,5.8,3,53.69
4.3,74.4,No,5.5,7,48.66
3.2,44.2,No,5.9,6,24.92
1.5,92.6,No,7.1,9,64.73
7.9,41.8,No,4.8,3,33.78
7.5,84.2,Yes,7.9,5,60.48
9.0,84.8,No,6.9,9,65.29
9.0,96.2,No,5.3,3,71.05
5.4,43.2,Yes,6.5,8,40.71
7.2,75.2,No,8.8,9,63.08
8.6,65.2,No,4.1,7,49.76
7.8,59.5,Yes,5.0,6,45.37
3.0,45.3,Yes,6.2,6,33.43
4.6,73.2,Yes,7.2,6,58.01
2.0,68.3,No,5.1,5,36.49
8.6,46.2,No,8.7,7,48.17
5.8,76.1,Yes,7.2,7,49.43
2.8,83.5,No,8.4,7,47.78
6.4,85.3,Yes,5.6,3,54.22
5.9,93.4,No,8.1,6,65.62
3.9,64.2,No,5.9,9,42.0
1.9,96.2,No,5.3,9,57.77
6.4,91.1,Yes,8.6,4,68.57
5.2,57.5,No,4.5,9,38.77
7.2,49.4,No,8.7,2,38.05
5.2,65.7,No,6.3,8,40.88
7.8,63.7,No,9.0,2,52.61
5.4,74.0,Yes,6.7,5,55.48
5.5,74.4,No,7.8,6,52.73
8.0,84.2,No,4.0,2,59.28
4.2,70.1,No,6.5,9,45.38
2.1,46.2,No,7.7,6,20.18
1.2,90.6,No,7.9,8,53.25
7.0,58.3,Yes,4.8,4,47.21
6.0,97.3,Yes,6.1,3,72.71
6.6,47.0,Yes,6.1,4,35.32
2.7,96.5,Yes,4.5,1,54.87
2.1,45.4,No,6.2,1,25.19
1.1,53.6,No,8.0,8,34.16
3.8,42.7,No,5.5,1,20.67
5.7,81.6,No,6.2,5,53.61
4.1,90.2,No,8.8,9,58.07
4.5,65.6,Yes,4.2,3,37.57
8.2,94.8,Yes,7.0,2,74.22
3.8,74.8,Yes,7.7,5,48.2
5.1,77.2,No,7.8,2,48.51
7.3,89.9,Yes,7.6,1,63.42
4.2,57.5,Yes,7.6,9,41.91
6.0,60.9,No,4.3,9,44.52
7.9,93.5,No,6.7,1,61.24
8.6,93.2,No,7.9,4,75.01
2.2,97.6,No,4.5,5,52.52
8.4,93.2,No,4.1,2,61.46
4.9,47.5,No,8.1,9,35.96
3.1,88.6,No,7.6,9,64.68
4.7,64.2,No,6.1,9,41.53
8.8,98.5,Yes,8.7,8,80.39
4.9,67.9,Yes,7.8,6,46.52
3.6,72.7,Yes,8.8,1,44.5
6.1,71.3,No,8.6,5,54.07
2.9,59.0,No,6.4,8,29.78
1.6,44.4,Yes,7.8,4,19.9
2.0,92.8,Yes,7.3,8,60.25
2.0,87.4,No,8.1,6,50.89
2.2,48.2,No,7.9,1,24.3
2.1,85.8,No,4.8,1,47.33
6.1,76.9,No,5.2,3,47.38
2.5,64.1,No,5.3,1,36.77
3.8,55.0,No,8.1,4,37.12
8.2,90.7,Yes,8.1,3,67.94
4.8,81.3,Yes,6.5,7,57.33
6.3,72.3,No,6.9,9,58.86
2.4,76.0,No,8.1,7,43.0
2.5,45.4,No,5.6,5,27.44
1.3,68.0,No,4.3,1,38.57
2.4,51.4,No,6.4,5,30.86
3.2,52.3,Yes,8.6,1,29.29
2.4,79.0,No,8.0,6,55.7
1.7,93.8,No,5.8,8,55.19
2.0,63.8,Yes,4.3,7,42.63
4.7,52.3,No,7.2,1,30.06
2.7,78.3,Yes,8.2,8,54.03
3.9,91.4,Yes,7.3,9,59.07
5.0,84.2,No,6.1,2,53.4
6.5,91.3,No,4.6,1,56.28
1.3,71.7,Yes,8.6,6,48.61
7.4,84.4,No,5.4,4,58.57
6.0,48.3,No,5.1,7,32.23
1.7,60.5,No,8.1,3,31.48
8.0,63.0,Yes,8.9,3,52.37
8.4,70.2,Yes,7.3,8,58.73
1.5,94.8,Yes,7.1,7,52.31
3.2,91.6,No,5.6,5,58.38
7.4,47.9,No,4.1,3,41.46
7.0,50.2,No,5.0,1,28.77
2.5,61.1,No,6.9,3,29.51
2.7,57.2,No,4.8,9,34.44
4.0,76.3,No,8.4,1,42.72
4.9,93.3,No,4.9,5,61.23
5.9,96.8,Yes,6.6,4,72.63
4.0,78.6,Yes,6.6,6,49.42
4.7,89.5,No,7.0,2,61.14
7.0,71.0,No,5.6,4,44.62
1.3,52.3,No,8.4,9,31.98
3.0,71.0,No,6.2,5,39.23
6.7,72.7,No,7.5,8,56.73
8.2,83.8,No,7.2,2,53.13
5.1,53.0,No,4.6,9,33.41
5.3,61.7,No,7.1,7,45.53
1.9,61.5,Yes,6.8,7,33.81
4.6,96.6,Yes,8.5,2,59.62
5.3,66.2,No,8.4,8,54.97
2.9,84.6,Yes,4.8,9,54.23
3.2,84.3,No,4.4,5,52.83
4.0,55.7,Yes,5.5,3,31.5
1.2,73.7,Yes,8.9,3,34.25
3.6,92.8,Yes,4.1,6,57.22
2.7,68.0,Yes,7.4,1,31.83
3.6,95.8,Yes,7.0,9,60.23
2.0,52.7,Yes,7.2,6,31.63
8.1,44.4,No,5.1,9,40.73
5.7,92.6,Yes,5.1,3,62.22
6.4,90.0,Yes,6.2,3,63.85
7.3,98.6,Yes,4.5,7,66.53
5.0,80.1,No,4.4,7,49.1
1.7,95.3,No,4.4,4,42.66
5.3,88.8,No,6.9,8,59.18
5.7,89.8,Yes,6.0,2,61.57
7.0,73.6,Yes,5.5,1,57.01
4.5,62.6,No,5.6,1,37.46
2.0,95.1,No,5.0,2,56.24
3.3,65.5,Yes,6.1,6,42.73
3.9,71.8,No,5.0,8,46.67
6.2,66.3,Yes,7.5,3,44.66
5.6,73.3,Yes,4.6,6,41.52
3.8,67.8,No,8.7,8,50.07
8.9,42.8,No,4.4,9,41.7
5.8,92.0,Yes,8.7,8,71.78
2.9,66.2,Yes,8.2,7,38.54
1.8,74.7,No,7.4,4,50.26
2.2,48.2,No,8.6,3,24.31
3.0,40.2,No,4.7,7,21.25
2.3,54.5,No,4.9,1,25.29
